Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2013,5,0.49965000000000004,0.4872,0.5121,0.01760695885154504,0.48,0.4729,0.4871,0.010040916292848968
2013,6,0.46030000000000004,0.4213,0.4993,0.055154328932550734,0.48085,0.4761,0.4856,0.006717514421272168
2013,7,0.49575,0.4923,0.4992,0.004879036790187171,0.48435,0.4817,0.487,0.0037476659402886814
2013,8,0.48715,0.4625,0.5118,0.0348603643124968,0.47095,0.4575,0.4844,0.019021172413918094
2013,9,0.4326,0.4135,0.4517,0.027011479041326125,0.4496,0.4426,0.4566,0.009899494936611674
2013,10,0.3876,0.3876,0.3876,,0.439,0.439,0.439,
2013,11,0.49675,0.3966,0.5969,0.14163348827166547,0.48614999999999997,0.4767,0.4956,0.013364318164425749
2013,12,0.5582,0.532,0.5844,0.03705239533417509,0.5055,0.5005,0.5105,0.007071067811865481
2014,1,0.45915,0.4344,0.4839,0.035001785668734096,0.50575,0.4892,0.5223,0.023405234457274677
2014,2,0.5372,0.4845,0.5899,0.07452905473706209,0.50705,0.507,0.5071,7.071067811864696e-05
2014,3,0.5038,0.4724,0.5352,0.044406305858515224,0.5284,0.5169,0.5399,0.01626345596729057
2014,4,0.52335,0.5178,0.5289,0.007848885271170716,0.49475,0.4803,0.5092,0.02043538597629123
2014,5,0.46540000000000004,0.3989,0.5319,0.09404520189781085,0.47450000000000003,0.4622,0.4868,0.017394826817189096
2014,6,0.451,0.4263,0.4757,0.03493107499061545,0.43865,0.4375,0.4398,0.0016263455967290568
2014,7,0.4215,0.3434,0.4996,0.11045007922133872,0.45315,0.4526,0.4537,0.0007778174593051951
2014,8,0.4928,0.4881,0.4975,0.00664680374315358,0.47675,0.474,0.4795,0.0038890872965259954
2014,9,0.46840000000000004,0.4455,0.4913,0.0323854905783439,0.47550000000000003,0.4612,0.4898,0.02022325394193529
2014,10,0.4616,0.4616,0.4616,,0.4572,0.4572,0.4572,
2014,11,0.46130000000000004,0.4554,0.4672,0.008343860018001225,0.4808,0.4735,0.4881,0.010323759005323575
2014,12,0.5337000000000001,0.525,0.5424,0.012303657992645867,0.49375,0.4896,0.4979,0.0058689862838483845
2015,1,0.45315,0.4432,0.4631,0.014071424945612317,0.4853,0.4771,0.4935,0.011596551211459359
2015,2,0.48719999999999997,0.4572,0.5172,0.04242640687119287,0.49235,0.4879,0.4968,0.006293250352560286
2015,3,0.5266,0.4413,0.6119,0.12063241687042495,0.5166,0.515,0.5182,0.0022627416997969777
2015,4,0.50205,0.4893,0.5148,0.01803122292025696,0.49975,0.4804,0.5191,0.027365032431919418
2015,5,0.4859,0.4824,0.4894,0.004949747468305837,0.47240000000000004,0.4635,0.4813,0.012586500705120515
2015,6,0.44984999999999997,0.3753,0.5244,0.10542962107491421,0.4525,0.4472,0.4578,0.007495331880577423
2015,7,0.41755,0.3764,0.4587,0.05819488809165283,0.4334,0.4315,0.4353,0.0026870057685088986
2015,8,0.4324,0.429,0.4358,0.004808326112068543,0.4327,0.4296,0.4358,0.004384062043356602
2015,9,0.44845,0.4444,0.4525,0.005727564927611032,0.4504,0.4462,0.4546,0.0059396969619669926
2015,10,0.4644,0.4644,0.4644,,0.3974,0.3974,0.3974,
2015,11,0.3522,0.3255,0.3789,0.03775950211536164,0.36265000000000003,0.3511,0.3742,0.016334166645409234
2015,12,0.37,0.2369,0.5031,0.18823182515185896,0.3902,0.377,0.4034,0.01866761902332484
2016,1,0.516,0.4531,0.5789,0.08895403307326763,0.47819999999999996,0.4612,0.4952,0.024041630560342617
2016,2,0.48035,0.4456,0.5151,0.04914392129246506,0.49849999999999994,0.4794,0.5176,0.027011479041326066
2016,3,0.4657,0.4308,0.5006,0.04935605332682106,0.4743,0.4729,0.4757,0.0019798989873223505
2016,4,0.48635,0.4447,0.528,0.05890199487283944,0.4982,0.4965,0.4999,0.0024041630560342913
2016,5,0.50505,0.452,0.5581,0.0750240294838927,0.49205,0.4846,0.4995,0.010535891039679576
2016,6,0.44275,0.4167,0.4688,0.03684026329981909,0.46105,0.4524,0.4697,0.01223294731452726
2016,7,0.45714999999999995,0.4438,0.4705,0.0188797510576808,0.44795,0.4445,0.4514,0.00487903679018719
2016,8,0.47345000000000004,0.449,0.4979,0.03457752160002219,0.4723,0.4553,0.4893,0.024041630560342638
2016,9,0.49705,0.4068,0.5873,0.1276327740041719,0.48935000000000006,0.4771,0.5016,0.01732411613907041
2016,10,0.43904999999999994,0.3616,0.5165,0.10953084040579618,0.45255,0.4368,0.4683,0.022273863607376227
2016,11,0.5097,0.5097,0.5097,,0.4077,0.4077,0.4077,
2016,12,0.3218,0.24,0.4036,0.11568266940211921,0.38825,0.3824,0.3941,0.008273149339882617
2017,1,0.49255000000000004,0.4781,0.507,0.02043538597629119,0.45865,0.4364,0.4809,0.03146625176280135
2017,2,0.52135,0.4706,0.5721,0.07177133829043464,0.52845,0.5192,0.5377,0.013081475451951102
2017,3,0.48845000000000005,0.4127,0.5642,0.10712667734976199,0.4952,0.4698,0.5206,0.03592102448427659
2017,4,0.44165,0.422,0.4613,0.02778929650063132,0.3942,0.3739,0.4145,0.02870853531617381
2017,5,0.30635,0.2158,0.3969,0.12805703807288374,0.38295,0.3763,0.3896,0.009404520189781067
2017,6,0.48,0.4622,0.4978,0.025173001410241088,0.4264,0.4138,0.439,0.017819090885900998
2017,7,0.45845,0.4012,0.5157,0.08096372644585972,0.4667,0.4545,0.4789,0.017253405460951745
2017,8,0.43835,0.4308,0.4459,0.010677312395916868,0.45509999999999995,0.4438,0.4664,0.015980613254816
2017,9,0.47575,0.4445,0.507,0.04419417382415922,0.46825,0.4594,0.4771,0.012515790027001926
2017,10,0.5203,0.5203,0.5203,,0.4889,0.4889,0.4889,
2017,11,0.43365,0.4241,0.4432,0.013505739520663062,0.47404999999999997,0.4476,0.5005,0.03740594872476832
2017,12,0.4417,0.3493,0.5341,0.13067333316327398,0.37885,0.3563,0.4014,0.0318905158315133
2018,1,0.2972,0.1803,0.4141,0.16532156544141483,0.35085,0.3463,0.3554,0.006434671708797581
2018,2,0.42810000000000004,0.3613,0.4949,0.09446946596652273,0.4134,0.3807,0.4461,0.04624478348960022
2018,3,0.5005999999999999,0.4769,0.5243,0.03351686142824231,0.49770000000000003,0.4974,0.498,0.0004242640687119407
2018,4,0.5014000000000001,0.49,0.5128,0.016122034611053274,0.5123,0.5097,0.5149,0.0036769552621699953
2018,5,0.51485,0.5128,0.5169,0.0028991378028648397,0.50315,0.4991,0.5072,0.005727564927611032
2018,6,0.47109999999999996,0.4448,0.4974,0.037193816690412405,0.49205,0.4802,0.5039,0.016758430714121156
2018,7,0.48525,0.4478,0.5227,0.052962297910872466,0.46525000000000005,0.4635,0.467,0.0024748737341529384
2018,8,0.43979999999999997,0.4008,0.4788,0.055154328932550734,0.43335,0.4125,0.4542,0.029486352775479063
2018,9,0.40385,0.3616,0.4461,0.05975052301026328,0.42425,0.4236,0.4249,0.0009192388155425087
2018,10,0.3516,0.3516,0.3516,,0.4436,0.4436,0.4436,
2018,11,0.48635,0.3458,0.6269,0.19876771619153852,0.4344,0.4249,0.4439,0.013435028842544414
2018,12,0.4335,0.3702,0.4968,0.08951971849821694,0.4593,0.4568,0.4618,0.0035355339059327407
2019,1,0.50665,0.4734,0.5399,0.04702260094890547,0.49595,0.4562,0.5357,0.05621498910433048
2019,2,0.57955,0.5673,0.5918,0.01732411613907039,0.56645,0.5556,0.5773,0.015344217151748118
2019,3,0.56325,0.4847,0.6418,0.11108647532440663,0.55725,0.5507,0.5638,0.009263098833543811
2019,4,0.5025,0.4888,0.5162,0.019374725804511425,0.49635,0.4837,0.509,0.017889801564019644
2019,5,0.46225,0.4507,0.4738,0.016334166645409254,0.48160000000000003,0.4732,0.49,0.011879393923933966
2019,6,0.514,0.5081,0.5199,0.008343860018001284,0.4959,0.4912,0.5006,0.006646803743153541
2019,7,0.5065,0.4998,0.5132,0.009475230867899753,0.51105,0.5055,0.5166,0.007848885271170716
2019,8,0.49985,0.4413,0.5584,0.0828022040769447,0.46425,0.4577,0.4708,0.009263098833543773
2019,9,0.38625,0.3707,0.4018,0.02199102089490164,0.45420000000000005,0.4535,0.4549,0.0009899494936611948
2019,10,0.5197,0.5197,0.5197,,0.4575,0.4575,0.4575,
2019,11,0.47785,0.4628,0.4929,0.02128391411371509,0.4814,0.4705,0.4923,0.015414927829866766
2019,12,0.49674999999999997,0.472,0.5215,0.035001785668734096,0.47014999999999996,0.4547,0.4856,0.021849599538664288
2020,1,0.42715000000000003,0.3946,0.4597,0.04603265145524422,0.45475,0.4462,0.4633,0.012091525958289965
2020,2,0.45265,0.4148,0.4905,0.05352798333582164,0.44355,0.4363,0.4508,0.01025304832720491
2020,3,0.43184999999999996,0.3502,0.5135,0.11547053736776315,0.44805,0.447,0.4491,0.0014849242404917434
2020,4,0.47724999999999995,0.4461,0.5084,0.04405275246792191,0.47395,0.4726,0.4753,0.001909188309203684
2020,5,0.5317000000000001,0.514,0.5494,0.025031580054003733,0.5009,0.487,0.5148,0.019657568516986055
2020,6,0.47019999999999995,0.4493,0.4911,0.02955706345359771,0.5091,0.5062,0.512,0.004101219330881995
2020,7,0.5118,0.5063,0.5173,0.007778174593052069,0.47905,0.4682,0.4899,0.015344217151748059
2020,8,0.4218,0.3926,0.451,0.04129503602129438,0.44355,0.4365,0.4506,0.009970205614730322
2020,9,0.42274999999999996,0.4149,0.4306,0.01110157646462881,0.4401,0.4195,0.4607,0.02913279938488577
2020,10,0.4927,0.4672,0.5182,0.036062445840513935,0.4752,0.4645,0.4859,0.0151320851173921
2020,11,0.5998,0.5998,0.5998,,0.5067,0.5067,0.5067,
2020,12,0.45235000000000003,0.3326,0.5721,0.16935207409417816,0.48450000000000004,0.4798,0.4892,0.00664680374315358
2021,1,0.4706,0.4158,0.5254,0.07749890321804562,0.5154,0.5073,0.5235,0.011455129855222065
2021,2,0.6098,0.6024,0.6172,0.01046518036156085,0.5495,0.5371,0.5619,0.017536248173426333
2021,3,0.50045,0.4846,0.5163,0.02241528496361354,0.5327999999999999,0.5256,0.54,0.010182337649086302
2021,4,0.47155,0.4693,0.4738,0.0031819805153394864,0.4491,0.4272,0.471,0.030971277015970747
2021,5,0.40354999999999996,0.4003,0.4068,0.0045961940777125435,0.4234,0.4208,0.426,0.003676955262170035
2021,6,0.4546,0.393,0.5162,0.08711555544218264,0.45,0.4435,0.4565,0.009192388155425127
2021,7,0.5045999999999999,0.498,0.5112,0.009333809511662381,0.4988,0.4843,0.5133,0.020506096654409837
2021,8,0.49385,0.4585,0.5292,0.0499924494298889,0.4948,0.4657,0.5239,0.04115361466505709
2021,9,0.45010000000000006,0.3895,0.5107,0.0857013418798096,0.4355,0.4337,0.4373,0.002545584412271605
